DÃ­a,Interlocut,Cliente,Latitud,Longitud,Pedido,Real,T.Ruta,Cluster
lunes,210359,6361622,-12.09562,-76.92462,8.61,8.61,R.Principal,0
lunes,210359,6354140,-12.095664,-76.924533,7.15,7.15,R.Principal,0
lunes,210359,6349258,-12.084698,-76.925108,1.2200000000000002,1.2200000000000002,R.Principal,0
lunes,210359,6431025,-12.092074,-76.899924,2.19,2.19,R.Principal,0
lunes,210359,6341639,-12.078313,-76.899132,13.66,13.66,R.Principal,0
lunes,210359,6377829,-12.087001,-76.935886,7.53,7.53,R.Principal,0
lunes,210359,11631600,-12.083508,-76.898088,3.72,3.72,R.Principal,0
lunes,210359,11661233,-12.08359,-76.89775,29.689999999999998,29.689999999999998,R.Principal,0
lunes,210359,6346229,-12.083769,-76.897756,8.495000000000001,8.495000000000001,R.Principal,0
lunes,210359,6348464,-12.08609,-76.88926,4.7,4.7,R.Principal,0
lunes,210359,6346206,-12.082771,-76.898143,25.745000000000005,25.745000000000005,R.Principal,0
lunes,210359,11639683,-12.0825453,-76.9337054,1.68,1.68,R.Principal,0
lunes,210359,11664231,-12.0823885,-76.9279093,7.0,7.0,R.Principal,0
lunes,210370,11678748,-12.0827718,-76.9282927,5.0,5.0,R.Secundario,0
lunes,210359,6431029,-12.08976,-76.90017,4.42,4.42,R.Principal,0
lunes,210359,11633255,-12.08579,-76.913,1.6900000000000002,1.6900000000000002,R.Principal,0
lunes,210359,6341289,-12.081647,-76.927702,6.0,6.0,R.Principal,0
lunes,210359,6349565,-12.083651,-76.898034,7.785,7.785,R.Principal,0
lunes,210359,6350271,-12.08492,-76.92489,1.12,1.12,R.Principal,0
lunes,210359,11634821,-12.0952,-76.92381,1.12,1.12,R.Principal,0
lunes,210359,6419760,-12.0844287,-76.9205168,3.64,3.64,R.Principal,0
lunes,210359,6353948,-12.083129,-76.897688,15.23,15.23,R.Principal,0
lunes,210359,11645128,-12.09551,-76.92432,1.92,1.92,R.Principal,0
lunes,210359,6431026,-12.0899757,-76.9024618,2.965,2.965,R.Principal,0
lunes,210359,6340075,-12.084258,-76.928339,37.72500000000001,37.72500000000001,R.Principal,0
lunes,210359,11598937,-12.0832337,-76.9054392,4.72,4.72,R.Principal,0
lunes,210362,11641993,-11.966657,-77.089026,16.72,16.72,R.Principal,1
lunes,210362,11653623,-11.96688,-77.08923,13.138000000000002,13.138000000000002,R.Principal,1
lunes,210362,11637659,-11.964909,-77.091197,5.74,5.74,R.Principal,1
lunes,210362,11639925,-11.96678,-77.08891,5.255,5.255,R.Principal,1
lunes,210362,11663017,-11.95988,-77.09646,6.06,6.06,R.Principal,1
lunes,210362,11655220,-11.96596,-77.09023,12.864999999999998,12.864999999999998,R.Principal,1
lunes,210362,11665372,-11.9650944,-77.0918594,4.1,4.1,R.Principal,1
lunes,210362,11653622,-11.9598,-77.0966,8.4,8.4,R.Principal,1
lunes,210362,11667316,-11.9628716,-77.0936252,1.48,1.48,R.Principal,1
lunes,210362,11647439,-11.95973,-77.09648,12.040000000000001,12.040000000000001,R.Principal,1
lunes,210362,11674826,-11.9594941,-77.0966562,3.3,3.3,R.Principal,1
lunes,210362,11663018,-11.95881,-77.09456,0.375,0.375,R.Principal,1
lunes,210362,11661897,-11.96691,-77.09063,2.675,2.675,R.Principal,1
lunes,210362,11683103,-11.9684915,-77.0890542,7.199999999999999,7.199999999999999,R.Principal,1
lunes,210362,11683339,-11.966737,-77.0895839,1.4,1.4,R.Principal,1
lunes,210362,11665129,-11.9662835,-77.08978,4.5,4.5,R.Principal,1
lunes,210362,11647438,-11.9622477,-77.0942304,9.68,9.68,R.Principal,1
lunes,210362,11657968,-11.96688,-77.09006,26.325,26.325,R.Principal,1
lunes,210362,11668296,-11.9602693,-77.0924861,1.4849999999999999,1.4849999999999999,R.Principal,1
lunes,210362,11637056,-11.96633,-77.09009,4.3500000000000005,4.3500000000000005,R.Principal,1
lunes,210355,11635860,-12.02521,-77.00228,5.66,5.66,R.Principal,2
lunes,210355,11608194,-12.02916,-77.01091,5.34,5.34,R.Principal,2
lunes,210355,6342985,-12.02549,-77.009449,29.54,29.54,R.Principal,2
lunes,210355,6348008,-12.02249166,-77.00170319,10.555,10.555,R.Principal,2
lunes,210355,11656910,-12.02721,-76.99974,2.04,2.04,R.Principal,2
lunes,210355,11608748,-12.02705,-77.00552,9.915,9.915,R.Principal,2
lunes,210355,11608195,-12.02658,-77.00427,1.0,1.0,R.Principal,2
lunes,210355,11653469,-12.0209,-77.00113,3.8550000000000004,3.8550000000000004,R.Principal,2
lunes,210355,11660968,-12.02408,-77.00266,4.0,4.0,R.Principal,2
lunes,210355,11661547,-12.02406,-77.00266,2.8649999999999998,2.8649999999999998,R.Principal,2
lunes,210355,11659897,-12.02212,-77.00177,2.52,2.52,R.Principal,2
lunes,210355,11608740,-12.02833,-77.01177,3.05,3.05,R.Principal,2
lunes,210355,11629752,-12.02395,-77.00262,11.754999999999999,11.754999999999999,R.Principal,2
lunes,210355,6341315,-12.026453,-77.004138,3.0,3.0,R.Principal,2
lunes,210355,11634191,-12.02396,-77.0026,2.83,2.83,R.Principal,2
lunes,210355,11675772,-12.0239132,-77.0080507,4.52,4.52,R.Principal,2
lunes,210355,11677245,-12.0266977,-77.0032736,1.12,0.0,R.Principal,2
lunes,210355,11653396,-12.03054,-77.01281,28.0,28.0,R.Principal,2
lunes,210355,11674653,-12.0305183,-77.0128104,54.975,54.975,R.Principal,2
lunes,210355,11659766,-12.03067,-77.01072,1.12,0.0,R.Principal,2
lunes,210355,11632536,-12.02612,-77.00179,2.95,2.95,R.Principal,2
lunes,210355,11680408,-12.0273204,-77.0067862,1.575,1.575,R.Principal,2
lunes,210355,11618033,-12.02388,-77.00249,1.12,0.0,R.Principal,2
lunes,210374,11674332,-12.0911807,-77.0284634,0.5,0.5,R.Principal,3
lunes,210374,11682733,-12.0922452,-77.0465559,14.35,14.35,R.Principal,3
lunes,210374,6344948,-12.10709,-77.03812,17.27,17.27,R.Principal,3
lunes,210374,11637668,-12.10468,-77.04569,9.0,9.0,R.Principal,3
lunes,210374,11683099,-12.092164,-77.0268663,31.66,31.66,R.Principal,3
lunes,210374,11540106,-12.0922151,-77.0450396,21.279999999999998,21.279999999999998,R.Principal,3
lunes,210374,6345416,-12.09506,-77.037872,17.0,17.0,R.Principal,3
lunes,210374,11665405,-12.0892927,-77.04788,3.0,3.0,R.Principal,3
lunes,210374,6341892,-12.0960052,-77.036572,75.22,75.22,R.Principal,3
lunes,210374,6350433,-12.0915409,-77.0302482,17.8,17.8,R.Principal,3
lunes,210374,6341320,-12.0975962,-77.0384952,52.0,52.0,R.Principal,3
lunes,210374,6341804,-12.0912923,-77.0396855,11.64,11.64,R.Principal,3
lunes,210374,11553771,-12.1063005,-77.0366698,48.64,48.64,R.Principal,3
lunes,210374,6346611,-12.09495,-77.05094,5.02,5.02,R.Principal,3
lunes,210374,6358052,-12.1059185,-77.0388042,30.0,30.0,R.Principal,3
lunes,210374,11615523,-12.094924,-77.038539,4.3,4.3,R.Principal,3
lunes,210374,6430355,-12.086618,-77.033944,11.0,11.0,R.Principal,3
lunes,210374,11682732,-12.0906637,-77.0269919,12.15,12.15,R.Principal,3
lunes,210374,6413562,-12.07762,-77.03653,4.8999999999999995,4.8999999999999995,R.Principal,3
lunes,210374,11611790,-12.0860029,-77.0312329,1.2,1.2,R.Principal,3
lunes,210374,11617616,-12.0851944,-77.0391772,66.05,66.05,R.Principal,3
lunes,210374,6342018,-12.085561,-77.032957,4.0,4.0,R.Principal,3
lunes,210374,11663120,-12.08618,-77.034,8.5,8.5,R.Principal,3
lunes,210374,11642698,-12.08599,-77.04461,8.48,8.48,R.Principal,3
lunes,210374,11557599,-12.0903796,-77.0347632,10.6,10.6,R.Principal,3
lunes,210374,6392069,-12.08683,-77.04421,2.2399999999999998,2.2399999999999998,R.Principal,3
lunes,210374,11643734,-12.0973449,-77.0490143,117.4,117.4,R.Principal,3
lunes,210353,11648043,-11.8349057,-77.022597,7.364999999999999,7.364999999999999,R.Principal,4
lunes,210353,11675962,-11.8546939,-77.0372023,9.575,9.575,R.Principal,4
lunes,210353,11665839,-11.8600489,-77.0458853,3.1599999999999997,3.1599999999999997,R.Principal,4
lunes,210353,11664171,-11.85999,-77.04688,5.680000000000001,5.680000000000001,R.Principal,4
lunes,210353,11675963,-11.855047,-77.0375147,3.5,3.5,R.Principal,4
lunes,210353,11667578,-11.8623349,-77.0476922,4.11,4.11,R.Principal,4
lunes,210354,11641361,-11.94148,-76.97361,4.859999999999999,4.859999999999999,R.Principal,5
lunes,210354,11552504,-11.93283,-76.9694,2.24,0.0,R.Principal,5
lunes,210354,6353135,-11.942824,-76.982513,3.04,3.04,R.Principal,5
lunes,210354,11637950,-11.9377,-76.97809,5.84,5.84,R.Principal,5
lunes,210354,11648519,-11.94191,-76.97526,2.24,2.24,R.Principal,5
lunes,210354,11648015,-11.93607,-76.96988,4.28,4.28,R.Principal,5
lunes,210354,11552507,-11.942298,-76.974325,0.54,0.54,R.Principal,5
lunes,210354,11634834,-11.93609,-76.97161,1.48,1.48,R.Principal,5
lunes,210354,11644593,-11.94164,-76.97364,4.48,4.48,R.Principal,5
lunes,210354,11648016,-11.93557,-76.97148,1.72,1.72,R.Principal,5
lunes,210354,11556220,-11.940196,-76.971862,2.91,2.91,R.Principal,5
lunes,210354,6427011,-11.94523,-76.978678,4.8,4.8,R.Principal,5
lunes,210354,11634536,-11.93557,-76.97153,1.12,1.12,R.Principal,5
lunes,210354,6426069,-11.9355,-76.978647,2.08,2.08,R.Principal,5
lunes,210354,11617361,-11.945406,-76.978952,11.690000000000001,11.690000000000001,R.Principal,5
lunes,210354,11671015,-11.9420946,-76.9821281,3.12,3.12,R.Principal,5
lunes,210354,11616784,-11.93875,-76.97869,8.0,8.0,R.Principal,5
lunes,210354,11654662,-11.94101,-76.98139,17.96,17.96,R.Principal,5
lunes,210354,6353310,-11.936954,-76.971003,7.21,7.21,R.Principal,5
lunes,210354,11643850,-11.94316,-76.97515,2.24,2.24,R.Principal,5
lunes,210354,11637647,-11.94349,-76.98153,17.425,17.425,R.Principal,5
lunes,210354,6352701,-11.945959,-76.978094,1.6,1.6,R.Principal,5
lunes,210354,6353658,-11.9362974,-76.9716038,8.879999999999999,8.879999999999999,R.Principal,5
lunes,210354,6355760,-11.934856,-76.9778424,5.76,5.76,R.Principal,5
lunes,210354,11658745,-11.94066,-76.97128,2.38,2.38,R.Principal,5
lunes,210354,6436149,-11.946497,-76.977285,4.9399999999999995,4.9399999999999995,R.Principal,5
lunes,210354,11552132,-11.9423037,-76.972639,2.24,2.24,R.Principal,5
lunes,210354,11682564,-11.9419928,-76.9739161,2.8600000000000003,2.8600000000000003,R.Principal,5
lunes,210354,11634832,-11.93609,-76.97155,2.04,2.04,R.Principal,5
lunes,210354,11651322,-11.94385,-76.97615,2.24,2.24,R.Principal,5
lunes,210354,6417582,-11.94351,-76.98168,3.4000000000000004,3.4000000000000004,R.Principal,5
lunes,210354,11659019,-11.93431,-76.97871,1.52,1.52,R.Principal,5
lunes,210354,11649001,-11.9435,-76.98157,3.36,3.36,R.Principal,5
lunes,210354,11614982,-11.9418,-76.97399,2.24,2.24,R.Principal,5
lunes,210354,6362151,-11.943759,-76.976576,3.36,3.36,R.Principal,5
lunes,210354,11656380,-11.94522,-76.97863,0.375,0.375,R.Principal,5
lunes,210354,11646758,-11.93834,-76.97839,2.4,2.4,R.Principal,5
lunes,204561,6425281,-12.0474741,-77.1113943,15.0,15.0,R.Principal,6
lunes,204561,6348708,-12.048077,-77.1100065,74.69999999999999,51.8,R.Principal,6
lunes,204561,6422725,-12.0479,-77.11009,109.2,109.2,R.Principal,6
lunes,204561,11600251,-12.0477022,-77.1112059,36.82,36.82,R.Principal,6
lunes,204561,11626748,-12.047824,-77.111857,35.2,0.0,R.Principal,6
lunes,204561,11616414,-12.0479486,-77.1099236,44.0,20.0,R.Principal,6
lunes,204561,11602830,-12.047757,-77.111457,71.28,48.88,R.Principal,6
lunes,204561,11603953,-12.0485366,-77.1103532,25.0,0.0,R.Principal,6
lunes,210368,6435409,-12.02202,-77.10794,60.0,60.0,R.Principal,6
lunes,204561,11662046,-12.0477705,-77.1112827,24.4,22.0,R.Principal,6
lunes,204561,11675436,-12.0489602,-77.1108359,8.9,8.9,R.Principal,6
lunes,204561,11678377,-12.0477632,-77.1114334,34.269999999999996,26.27,R.Principal,6
lunes,210348,11674718,-12.0438891,-77.0975698,2.9499999999999997,2.9499999999999997,R.Principal,6
lunes,210348,11667760,-12.0423521,-77.0948346,3.1,3.1,R.Principal,6
lunes,210348,11634676,-12.04367,-77.10207,11.07,11.07,R.Principal,6
lunes,210348,11660605,-12.04334,-77.11476,3.425,3.425,R.Principal,6
lunes,210348,11635406,-12.0437,-77.10223,1.08,1.08,R.Principal,6
lunes,210348,11677799,-12.0450524,-77.1016427,3.3600000000000003,2.16,R.Principal,6
lunes,210348,11680560,-12.0460682,-77.1082098,2.8200000000000003,0.5,R.Principal,6
lunes,210348,11680557,-12.0425,-77.118213,1.245,1.245,R.Principal,6
lunes,210348,6345336,-12.05297,-77.09599,23.2,4.0,R.Principal,6
lunes,210348,6412508,-12.053339,-77.093675,6.3999999999999995,6.3999999999999995,R.Principal,6
lunes,210348,11680559,-12.0422809,-77.1181503,7.140000000000001,7.140000000000001,R.Principal,6
lunes,210348,11651103,-12.04267,-77.09662,1.08,1.08,R.Principal,6
lunes,210348,11598691,-12.0413178,-77.0926457,4.385,3.075,R.Principal,6
lunes,210348,11658626,-12.03938,-77.09006,12.140000000000002,12.140000000000002,R.Principal,6
lunes,210348,11602855,-12.0422812,-77.0962329,1.3,1.3,R.Principal,6
lunes,210348,11546439,-12.042273,-77.096117,3.36,3.36,R.Principal,6
lunes,210348,6349470,-12.04162798,-77.09620363,29.49,22.29,R.Principal,6
lunes,210348,11666729,-12.040102,-77.089839,15.9,15.9,R.Principal,6
lunes,210348,11660131,-12.04015,-77.0908,3.8499999999999996,1.05,R.Principal,6
lunes,210348,11667272,-12.0403548,-77.097832,4.96,4.96,R.Principal,6
lunes,210350,11598161,-12.024814,-77.060585,3.575,3.575,R.Principal,7
lunes,210350,6349097,-12.0261,-77.0597,4.0200000000000005,4.0200000000000005,R.Principal,7
lunes,210350,11598170,-12.021994,-77.061073,19.439999999999998,19.439999999999998,R.Principal,7
lunes,210347,11602921,-12.03899,-77.05121,3.2800000000000002,3.2800000000000002,R.Principal,7
lunes,210350,11659194,-12.02509,-77.06021,1.6,0.0,R.Principal,7
lunes,210350,11597798,-12.021691,-77.061835,9.2,8.2,R.Principal,7
lunes,210350,6357769,-12.02532,-77.0598,14.04,13.04,R.Principal,7
lunes,210350,11641490,-12.01902,-77.06155,5.055,5.055,R.Principal,7
lunes,210350,11602108,-12.0254,-77.0644,10.515,10.515,R.Principal,7
lunes,210347,11682287,-12.0383631,-77.0498032,25.759999999999998,25.2,R.Principal,7
lunes,210350,11643699,-12.0242674,-77.0600232,1.1750000000000003,1.1750000000000003,R.Principal,7
lunes,210350,11633902,-12.02566,-77.05936,11.495,11.495,R.Principal,7
lunes,210350,11623909,-12.03033,-77.06165,1.52,1.52,R.Principal,7
lunes,210350,11602970,-12.033415,-77.062677,4.800000000000001,3.6799999999999997,R.Principal,7
lunes,210350,11633218,-12.03193,-77.05779,2.56,2.56,R.Principal,7
lunes,210347,11630115,-12.03801,-77.05533,9.925,9.925,R.Principal,7
lunes,210347,11601070,-12.0435438,-77.0499143,9.08,1.88,R.Principal,7
lunes,210347,11599219,-12.043723,-77.05145,3.04,2.48,R.Principal,7
lunes,210347,11598830,-12.0380166,-77.0490762,5.16,5.16,R.Principal,7
lunes,210347,11682286,-12.0380492,-77.055329,11.392000000000001,9.152000000000001,R.Principal,7
lunes,210350,11641868,-12.01909,-77.06251,4.93,4.93,R.Principal,7
lunes,210347,11648365,-12.0389486,-77.0514078,11.96,11.96,R.Principal,7
lunes,210350,11661722,-12.02494,-77.06018,2.075,2.075,R.Principal,7
lunes,210347,11603914,-12.03839,-77.049249,1.6800000000000002,1.6800000000000002,R.Principal,7
lunes,210347,11661717,-12.03674,-77.04966,1.5,1.5,R.Principal,7
lunes,210347,11671090,-12.0391718,-77.0507987,1.385,0.825,R.Principal,7
lunes,210347,11676376,-12.0443425,-77.0505846,1.08,1.08,R.Principal,7
lunes,210347,11597609,-12.051007,-77.063643,15.174999999999999,15.174999999999999,R.Principal,7
lunes,210350,11632379,-12.0262228,-77.0587968,16.8,16.8,R.Principal,7
lunes,210347,11653627,-12.03843,-77.05126,18.0,18.0,R.Principal,7
lunes,210347,11633217,-12.0421865,-77.0511673,1.48,1.48,R.Principal,7
lunes,210347,11639574,-12.04257,-77.05048,0.54,0.54,R.Principal,7
lunes,210347,11658618,-12.03814,-77.05359,3.98,3.42,R.Principal,7
lunes,210347,11641980,-12.03898,-77.05222,9.0,9.0,R.Principal,7
lunes,210347,11596799,-12.037533,-77.049286,23.779999999999998,23.779999999999998,R.Principal,7
lunes,210372,11572972,-12.0553951,-77.0594069,12.5,12.5,R.Principal,7
lunes,210372,11646686,-12.0565,-77.0621,8.0,8.0,R.Principal,7
lunes,210350,11684578,-12.0349015,-77.059357,4.18,4.18,R.Principal,7
lunes,210350,11668144,-12.0273745,-77.0648485,4.2,3.08,R.Principal,7
lunes,210350,11661724,-12.03279,-77.06157,1.8,1.8,R.Principal,7
lunes,210350,11631825,-12.03182,-77.05784,10.83,3.63,R.Principal,7
lunes,210350,11677258,-12.0252389,-77.0604114,3.8949999999999996,3.8949999999999996,R.Principal,7
lunes,210350,11676821,-12.032678,-77.0581187,0.54,0.54,R.Principal,7
lunes,210350,11676201,-12.0291355,-77.059056,5.25,5.25,R.Principal,7
lunes,210350,11674486,-12.0319866,-77.0579298,30.8,23.6,R.Principal,7
lunes,210350,11668138,-12.03382,-77.0543071,3.335,3.335,R.Principal,7
lunes,210350,11665138,-12.0265151,-77.0684985,3.2,3.2,R.Principal,7
